Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
31/01/2024,CASD CENTRAL ANALYSIS AND SCIENCE DIRECTORATE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IFF RESEARCH LTD,"£30,592"
29/01/2024,PCP ESTATES LSS DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD - 2WM,"£30,557"
08/01/2024,OPS DD WALES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£30,532"
23/01/2024,CHG WPT BACK OF HOUSE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,CDW LTD,"£30,498"
15/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£30,472"
02/01/2024,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£30,456"
29/01/2024,DIG - SECURITY CONTRACTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIPPO DIGITAL LTD,"£30,360"
09/01/2024,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,C&R SOFTWARE,"£30,360"
18/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£30,285"
23/01/2024,CHG COVID ENQUIRY,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£30,277"
02/01/2024,DIG WA MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£30,232"
31/01/2024,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£30,205"
08/01/2024,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£30,179"
16/01/2024,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£30,154"
22/01/2024,PCP ESTATES SITE DECOMMISSION DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£30,084"
04/01/2024,CHG GYSP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£30,073"
29/01/2024,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARUM SYSTEMS LTD,"£30,070"
05/01/2024,PCP ESTATES SECURITY DELP,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£30,012"
15/01/2024,P&C DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,ERNST & YOUNG LLP,"£30,000"
19/01/2024,STR GSU LABOUR MARKET STRATEGY & ANALYSIS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IPSOS MORI,"£30,000"
24/01/2024,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£29,985"
11/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£29,908"
11/01/2024,DIG DCBT EXTERNALS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CADENCE INNOVA LTD,"£29,842"
24/01/2024,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£29,840"
16/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£29,735"
17/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£29,730"
25/01/2024,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£29,688"
23/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£29,528"
22/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£29,528"
09/01/2024,PCP ESTATES LCW DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - PLANT & MACHINERY,AMEY COMMUNITY LTD,"£29,439"
18/01/2024,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£29,363"
19/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£29,344"
16/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£29,324"
03/01/2024,DIG TECH PLATFORM CIS BAU,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BAE SYSTEMS APPLIED INTELLIGENCE LTD,"£29,286"
24/01/2024,HR ORGANISATION CAPABILITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,CABINET OFFICE,"£29,120"
23/01/2024,CHG CHILD MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£29,119"
11/01/2024,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£29,117"
05/01/2024,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£29,022"
17/01/2024,STR LEGAL SERVICES,Exp - Purchase Of Goods/Services - Consultancy,TLT LLP,"£28,940"
31/01/2024,DIG CROSS CUTTING SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£28,917"
17/01/2024,OPS WDC WSD CW AREA DIRECTOR OFFICE,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,KPMG,"£28,909"
18/01/2024,DIG LOCAL PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,XEROX UK LTD 3W,"£28,810"
25/01/2024,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NCC GROUP SECURITY SERVICES LTD,"£28,771"
24/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£28,771"
15/01/2024,CHG 620731 RUNCORN HALTON LEA BOH,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£28,633"
03/01/2024,DIG CITIZEN INF - STRATEGIC ARA SEARCHLIGHT GWAY UI DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£28,329"
19/01/2024,DIG HYPERSCALE PUBLIC CLOUD PROVIDERS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£28,307"
29/01/2024,DIG CITIZEN INF - STRATEGIC ARA CARE HOMES DELP,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,CAPGEMINI UK PLC,"£28,306"
19/01/2024,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£27,876"
31/01/2024,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£27,871"
15/01/2024,CHG 620076 BIRKENHEAD GREAT WESTERN HOUSE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£27,837"
02/01/2024,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£27,776"
02/01/2024,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£27,776"
11/01/2024,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAVENDISH WOOD LTD,"£27,756"
24/01/2024,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES  - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED - ESA10,BASIS SOCIAL LTD,"£27,751"
29/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£27,742"
30/01/2024,P&C DWP SUSTAINABILITY,Exp - Purchase Of Goods/Services - Consultancy,BRAMBLE HUB LTD,"£27,721"
19/01/2024,DIG APPLICATION DATA PLATFORMS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£27,668"
10/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£27,668"
08/01/2024,OPS CFC DEBT CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD TA APS GROUP,"£27,568"
25/01/2024,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£27,543"
11/01/2024,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,VOCALINK INTERNATIONAL LTD,"£27,500"
11/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£27,469"
15/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£27,320"
24/01/2024,DIG CITIZEN INF - STRATEGIC ARA SEARCHLIGHT GWAY UI DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£27,264"
16/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£27,256"
23/01/2024,CHG CHILD MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£27,240"
15/01/2024,CHG GYSP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST SOFTWARE EUROPE LIMITED,"£27,128"
29/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£27,087"
25/01/2024,DIG RE-ENGINEERING OF DATA PRODUCTS FROM OPH TO CLOUD,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£27,025"
08/01/2024,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,CM 2012 CLIENT FUNDS,"£27,024"
23/01/2024,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£27,010"
09/01/2024,PCP ESTATES LCW DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - PLANT & MACHINERY,AMEY COMMUNITY LTD,"£26,966"
29/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£26,927"
31/01/2024,DIG DWP PLACE PDU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£26,920"
26/01/2024,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,PLYMOUTH CITY COUNCIL,"£26,699"
12/01/2024,DIG PRINTED CUSTOMER COMMUNICATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£26,669"
23/01/2024,HR PROFESSIONAL LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CIPD ENTERPRISES LTD,"£26,560"
12/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£26,548"
22/01/2024,OPS WA ILFORD,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,HHG ASSOCIATES LTD,"£26,546"
10/01/2024,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£26,524"
11/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£26,465"
17/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£26,465"
15/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£26,444"
25/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£26,427"
25/01/2024,STR BUS SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,CABINET OFFICE,"£26,400"
17/01/2024,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BSI CYBERSECURITY & INFORMATION RESILIENCE UK LTD,"£26,309"
26/01/2024,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD-2WM,"£26,139"
12/01/2024,HR DWP STAFF INTERPRETER COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,DA LANGUAGES LTD,"£26,107"
03/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£26,080"
25/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£26,080"
12/01/2024,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£26,040"
30/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£25,862"
23/01/2024,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SPECIAL COUNTER SERVICE,WORLDPAY,"£25,764"
24/01/2024,PCP ESTATES WORK PLACE SERVICES DELA,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LEADING MANAGEMENT SERVICES LTD,"£25,746"
25/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£25,742"
19/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£25,742"
08/01/2024,FG CHES HDAS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£25,741"
17/01/2024,DIG DATAWORKS FUTURE STRATEGY DISCOVERY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBER SECURITY SPECIALISTS,"£25,600"
31/01/2024,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£25,537"
22/01/2024,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,ERNST & YOUNG LLP,"£25,445"
30/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£25,414"
29/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£25,411"
02/01/2024,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£25,395"
02/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£25,262"
05/01/2024,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£25,238"
30/01/2024,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£25,177"
16/01/2024,DIG MAINTENANCE - BENEFIT SUPPORTING SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,LAYER 7 IT SECURITY,"£25,139"
03/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£25,089"
19/01/2024,CHG PRIVATE SECTOR PROVISION,Exp - Purchase Of Goods/Services - Consultancy,MILLS & REEVE LLP,"£25,016"
18/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£25,005"
